Timestamp, X Coordinate, Y Coordinate, Z Coordinate, Speed,  Distance to Destination, Time to Arrival, Battery Level
Fri May  5 14:06:16 2023,498.292,270,-228.623,30,611.117,20.3706,80.5471
Fri May  5 14:06:26 2023,498.292,270,-228.623,30,611.117,20.3706,70.5466
Fri May  5 14:06:36 2023,498.292,270,-228.623,30,611.117,20.3706,60.5468
Fri May  5 14:06:46 2023,498.292,270,-228.623,30,611.117,20.3706,50.5469
Fri May  5 14:06:56 2023,498.292,270,-228.623,30,611.117,20.3706,40.5463
Fri May  5 14:07:06 2023,498.292,270,-228.623,30,611.117,20.3706,30.5463
Fri May  5 14:07:16 2023,498.292,270,-228.623,30,611.117,20.3706,20.5455
Fri May  5 14:07:26 2023,498.292,270,-228.623,30,611.117,20.3706,10.5463
Fri May  5 14:07:36 2023,498.292,270,-228.623,30,611.117,20.3706,0.540986
Fri May  5 14:07:46 2023,498.292,270,-228.623,30,611.117,20.3706,98.0332
Fri May  5 14:07:56 2023,498.292,270,-228.623,30,611.117,20.3706,88.033
Fri May  5 14:08:06 2023,498.292,270,-228.623,30,611.117,20.3706,78.0333
Fri May  5 14:08:16 2023,498.292,270,-228.623,30,611.117,20.3706,68.033
Fri May  5 14:08:26 2023,498.292,270,-228.623,30,611.117,20.3706,58.0333
Fri May  5 14:08:36 2023,498.292,270,-228.623,30,611.117,20.3706,48.0327
Fri May  5 14:08:46 2023,498.292,270,-228.623,30,611.117,20.3706,38.0398
Fri May  5 14:08:56 2023,498.292,270,-228.623,30,611.117,20.3706,28.04
Fri May  5 14:09:06 2023,498.292,270,-228.623,30,611.117,20.3706,18.0397
Fri May  5 14:09:16 2023,498.292,270,-228.623,30,611.117,20.3706,8.03958
Fri May  5 14:09:26 2023,498.292,270,-228.623,30,611.117,20.3706,0
Fri May  5 14:09:36 2023,498.292,270,-228.623,30,611.117,20.3706,95.5334
Fri May  5 14:09:46 2023,498.292,270,-228.623,30,611.117,20.3706,85.5323
Fri May  5 14:09:56 2023,498.292,270,-228.623,30,611.117,20.3706,75.5326
Fri May  5 14:10:06 2023,498.292,270,-228.623,30,611.117,20.3706,65.5329
Fri May  5 14:10:16 2023,498.292,270,-228.623,30,611.117,20.3706,55.5324
Fri May  5 14:10:26 2023,498.292,270,-228.623,30,611.117,20.3706,45.5325
Fri May  5 14:10:36 2023,498.292,270,-228.623,30,611.117,20.3706,35.5323
Fri May  5 14:10:46 2023,498.292,270,-228.623,30,611.117,20.3706,25.532
Fri May  5 14:10:56 2023,498.292,270,-228.623,30,611.117,20.3706,15.5407
Fri May  5 14:11:06 2023,498.292,270,-228.623,30,611.117,20.3706,5.54015
Fri May  5 14:11:16 2023,498.292,270,-228.623,30,611.117,20.3706,0
Fri May  5 14:11:26 2023,498.292,270,-228.623,30,611.117,20.3706,93.0498
Fri May  5 14:11:36 2023,498.292,270,-228.623,30,611.117,20.3706,83.0498
Fri May  5 14:11:46 2023,498.292,270,-228.623,30,611.117,20.3706,73.0497
Fri May  5 14:11:56 2023,498.292,270,-228.623,30,611.117,20.3706,63.0495
Fri May  5 14:12:06 2023,498.292,270,-228.623,30,611.117,20.3706,53.0488
Fri May  5 14:12:16 2023,498.292,270,-228.623,30,611.117,20.3706,43.0489
Fri May  5 14:12:27 2023,498.292,270,-228.623,30,611.117,20.3706,33.0453
Fri May  5 14:12:39 2023,498.292,270,-228.623,30,611.117,20.3706,23.0453
Fri May  5 14:12:55 2023,498.292,270,-228.623,30,611.117,20.3706,13.0453
Fri May  5 14:13:11 2023,498.292,270,-228.623,30,611.117,20.3706,3.04532
Fri May  5 14:13:12 2023,498.292,270,-228.623,30,611.117,20.3706,73.99
Fri May  5 14:13:17 2023,498.292,270,-228.623,30,611.117,20.3706,90.54
Fri May  5 14:13:29 2023,498.292,270,-228.623,30,611.117,20.3706,80.54
Fri May  5 14:13:45 2023,498.292,270,-228.623,30,611.117,20.3706,70.54
Fri May  5 14:14:17 2023,498.292,270,-228.623,30,611.117,20.3706,60.54
Fri May  5 14:14:17 2023,498.292,270,-228.623,30,611.117,20.3706,50.54
Fri May  5 14:14:18 2023,498.292,270,-228.623,30,611.117,20.3706,40.54
Fri May  5 14:14:18 2023,498.292,270,-228.623,30,611.117,20.3706,30.54
Fri May  5 14:15:21 2023,498.292,270,-228.623,30,611.117,20.3706,20.54
Fri May  5 14:15:22 2023,498.292,270,-228.623,30,611.117,20.3706,10.54
Fri May  5 14:15:22 2023,498.292,270,-228.623,30,611.117,20.3706,0.54
Fri May  5 14:15:22 2023,498.292,270,-228.623,30,611.117,20.3706,98.02
Fri May  5 14:15:22 2023,498.292,270,-228.623,30,611.117,20.3706,88.02
Fri May  5 14:15:22 2023,498.292,270,-228.623,30,611.117,20.3706,78.02
